;id_lobby_game;id_player;id_room;qt_kill;qt_assist;qt_death;qt_hs;qt_bombe_defuse;qt_bombe_plant;qt_tk;qt_tk_assist;qt_1_kill;qt_2_kill;qt_3_kill;qt_4_kill;qt_5_kill;qt_plus_kill;qt_first_kill;vl_damage;qt_hits;qt_shots;qt_last_alive;qt_clutch_won;qt_rounds_played;desc_map_name;vl_level;qt_survived;qt_trade;qt_flash_assist;qt_hit_headshot;qt_hit_chest;qt_hit_stomach;qt_hit_left_atm;qt_hit_right_arm;qt_hit_left_leg;qt_hit_right_leg;fl_winner;dt_created_at
0;1;1;1;5;1;16;2;0;0;0.0;0.0;3;1;0;0;0;0;1;911;25.0;212;0.0;0;17;de_mirage;10;1.0;2.0;0.0;3.0;13.0;4.0;2.0;2.0;1.0;0.0;0;2022-01-21 19:45:44
1;2;1;2;24;3;18;6;0;4;0.0;1.0;9;4;1;1;0;0;3;2933;54.0;597;1.0;1;27;de_nuke;9;8.0;1.0;0.0;7.0;26.0;14.0;2.0;1.0;1.0;3.0;1;2022-02-04 02:09:47
2;3;2;3;6;4;23;2;0;1;0.0;1.0;4;1;0;0;0;0;2;1117;31.0;207;0.0;0;25;de_mirage;2;2.0;3.0;0.0;3.0;15.0;8.0;1.0;2.0;0.0;2.0;0;2021-09-18 18:07:43
3;3;391;27508;10;5;20;4;1;0;0.0;0.0;6;2;0;0;0;0;1;1740;63.0;411;1.0;1;25;de_mirage;15;3.0;4.0;0.0;6.0;27.0;10.0;1.0;7.0;6.0;6.0;1;2021-09-18 18:07:43
4;4;2;4;8;4;26;6;0;2;0.0;0.0;4;2;0;0;0;0;1;1696;51.0;324;0.0;0;30;de_nuke;2;4.0;4.0;2.0;8.0;19.0;12.0;2.0;3.0;2.0;5.0;0;2021-09-27 00:17:45
5;5;2;5;10;1;11;5;0;3;0.0;0.0;7;1;0;0;0;0;0;1203;22.0;357;0.0;0;20;de_inferno;2;13.0;4.0;1.0;5.0;6.0;8.0;0.0;0.0;3.0;0.0;1;2021-09-29 22:05:47
6;5;1068;69976;9;2;19;4;1;0;0.0;1.0;5;2;0;0;0;0;0;1599;52.0;510;0.0;0;20;de_inferno;5;1.0;4.0;1.0;6.0;21.0;14.0;3.0;4.0;2.0;2.0;0;2021-09-29 22:05:47
7;6;2;6;16;1;23;9;0;1;0.0;1.0;5;2;1;1;0;0;6;2111;61.0;291;0.0;0;20;de_mirage;2;0.0;0.0;1.0;9.0;21.0;19.0;3.0;4.0;2.0;3.0;0;2021-10-07 22:48:43
8;7;2;7;11;2;19;2;0;1;0.0;0.0;6;1;1;0;0;0;3;1576;40.0;227;0.0;0;22;de_mirage;2;3.0;2.0;1.0;5.0;17.0;12.0;0.0;4.0;0.0;2.0;0;2021-10-08 23:29:57
9;8;2;8;8;6;13;2;0;0;0.0;0.0;4;2;0;0;0;0;1;1365;51.0;323;0.0;0;16;de_mirage;2;3.0;0.0;0.0;3.0;9.0;17.0;2.0;5.0;7.0;8.0;0;2021-10-12 16:48:09
10;9;2;9;5;1;12;3;0;1;0.0;1.0;5;0;0;0;0;0;0;1005;30.0;150;0.0;0;12;de_inferno;2;0.0;1.0;1.0;3.0;11.0;8.0;3.0;2.0;0.0;3.0;0;2021-10-17 17:02:08
11;10;2;10;19;2;21;7;0;0;0.0;0.0;9;5;0;0;0;0;4;2459;55.0;382;0.0;0;27;de_mirage;2;6.0;3.0;3.0;10.0;19.0;12.0;2.0;6.0;3.0;3.0;0;2021-10-17 18:09:18
12;11;2;11;5;3;20;1;0;1;0.0;0.0;5;0;0;0;0;0;1;887;31.0;155;0.0;0;28;de_vertigo;1;8.0;5.0;2.0;2.0;11.0;13.0;0.0;2.0;2.0;1.0;1;2021-10-17 23:20:21
13;12;2;12;9;2;17;4;1;1;0.0;0.0;3;1;0;1;0;0;3;1137;31.0;317;0.0;0;25;de_mirage;2;8.0;4.0;2.0;5.0;9.0;9.0;1.0;2.0;4.0;1.0;1;2021-10-18 00:22:34
14;13;2;13;8;3;22;3;0;0;0.0;0.0;6;1;0;0;0;0;2;1347;47.0;289;0.0;0;23;de_mirage;2;1.0;4.0;0.0;4.0;15.0;13.0;0.0;3.0;7.0;5.0;0;2021-10-20 22:54:39
15;14;2;14;2;0;20;1;0;3;0.0;0.0;2;0;0;0;0;0;0;401;18.0;121;0.0;0;21;de_ancient;2;1.0;3.0;1.0;2.0;11.0;2.0;0.0;2.0;0.0;1.0;0;2021-10-24 03:27:22
16;15;2;15;9;4;26;4;0;4;0.0;0.0;5;2;0;0;0;0;4;1455;40.0;282;0.0;0;27;de_vertigo;2;1.0;3.0;0.0;5.0;12.0;14.0;0.0;6.0;3.0;0.0;1;2021-10-31 02:54:42
17;16;2;16;4;3;24;3;0;1;0.0;0.0;2;1;0;0;0;0;0;890;32.0;376;0.0;0;30;de_mirage;2;6.0;4.0;1.0;6.0;15.0;4.0;2.0;3.0;1.0;1.0;0;2021-10-31 03:55:24
18;17;2;17;11;5;17;4;0;3;0.0;0.0;7;2;0;0;0;0;1;1403;33.0;325;0.0;0;24;de_dust2;2;7.0;2.0;0.0;5.0;12.0;8.0;0.0;3.0;2.0;3.0;1;2021-11-06 03:45:23
19;18;2;18;14;3;23;6;0;0;0.0;0.0;10;2;0;0;0;0;2;1917;51.0;383;0.0;0;28;de_vertigo;2;5.0;5.0;0.0;7.0;22.0;10.0;0.0;1.0;7.0;4.0;1;2021-11-06 04:54:56
20;19;2;19;7;3;22;2;0;1;0.0;0.0;5;1;0;0;0;0;0;1084;37.0;412;0.0;0;27;de_mirage;2;5.0;1.0;0.0;3.0;16.0;7.0;0.0;3.0;5.0;3.0;0;2021-11-10 22:03:32
21;20;2;20;10;4;24;6;0;1;0.0;0.0;8;1;0;0;0;0;4;1650;48.0;321;0.0;0;27;de_ancient;2;3.0;5.0;1.0;9.0;15.0;10.0;2.0;3.0;3.0;6.0;1;2021-11-13 18:27:04
22;21;2;21;17;5;22;7;0;4;0.0;0.0;11;3;0;0;0;0;1;2390;68.0;503;0.0;0;29;de_mirage;2;7.0;3.0;0.0;11.0;25.0;25.0;4.0;1.0;1.0;1.0;1;2021-11-24 23:00:35
23;22;2;22;13;5;18;7;0;1;0.0;0.0;8;1;1;0;0;0;4;2238;56.0;464;0.0;0;22;de_mirage;3;3.0;3.0;1.0;10.0;19.0;8.0;3.0;7.0;4.0;5.0;0;2022-01-08 23:21:06
24;23;2;23;12;4;20;2;0;0;0.0;0.0;6;0;2;0;0;0;3;1778;70.0;365;0.0;0;22;de_mirage;3;2.0;4.0;0.0;4.0;34.0;18.0;4.0;3.0;3.0;4.0;0;2022-02-05 01:37:40
25;24;3;24;19;4;12;12;0;7;0.0;0.0;4;6;1;0;0;0;2;2461;73.0;356;0.0;0;22;de_mirage;13;9.0;2.0;0.0;12.0;33.0;18.0;2.0;5.0;2.0;1.0;1;2021-09-15 23:04:24
26;25;3;25;28;3;19;12;1;1;0.0;0.0;13;4;1;1;0;0;5;3122;89.0;483;1.0;0;29;de_vertigo;14;9.0;0.0;0.0;15.0;41.0;23.0;2.0;3.0;2.0;3.0;1;2021-09-20 22:42:03
27;26;3;26;29;4;17;13;1;3;0.0;0.0;13;5;2;0;0;0;3;3345;67.0;501;1.0;1;29;de_inferno;14;11.0;1.0;0.0;13.0;35.0;13.0;0.0;3.0;1.0;2.0;1;2021-09-20 23:42:30
28;27;3;27;24;7;21;10;1;1;0.0;0.0;10;4;2;0;0;0;5;3518;109.0;541;2.0;1;28;de_vertigo;14;5.0;3.0;0.0;11.0;44.0;31.0;1.0;16.0;2.0;4.0;1;2021-09-21 00:46:43
29;28;3;28;24;4;13;9;1;3;0.0;0.0;12;4;0;1;0;0;3;2791;82.0;506;0.0;0;27;de_dust2;14;14.0;1.0;0.0;9.0;36.0;20.0;0.0;7.0;5.0;5.0;1;2021-09-21 01:45:44
30;29;3;29;14;3;14;4;0;1;0.0;1.0;5;3;1;0;0;0;0;1780;69.0;443;2.0;1;22;de_nuke;14;6.0;2.0;0.0;7.0;37.0;13.0;1.0;4.0;3.0;4.0;1;2021-09-21 22:23:27
31;30;3;30;19;4;17;8;0;1;0.0;0.0;13;3;0;0;0;0;1;2366;74.0;377;1.0;1;25;de_dust2;14;7.0;1.0;1.0;11.0;33.0;17.0;3.0;6.0;2.0;2.0;1;2021-09-21 23:55:15
32;31;3;31;23;1;16;13;0;0;0.0;0.0;6;7;1;0;0;0;3;2492;59.0;443;0.0;0;22;de_dust2;14;6.0;0.0;2.0;15.0;31.0;4.0;3.0;6.0;0.0;0.0;1;2021-09-22 23:09:17
33;32;3;32;26;2;17;12;0;3;0.0;0.0;5;3;1;3;0;0;0;3192;105.0;575;1.0;2;29;de_inferno;14;11.0;3.0;0.0;16.0;52.0;20.0;3.0;8.0;3.0;3.0;1;2021-09-23 00:16:59
34;33;3;33;19;3;16;6;0;1;0.0;0.0;6;3;1;1;0;0;1;2129;71.0;359;1.0;0;23;de_mirage;15;6.0;1.0;1.0;9.0;34.0;14.0;0.0;5.0;3.0;6.0;0;2021-09-27 22:34:01
35;34;3;34;20;3;20;12;0;2;0.0;0.0;10;2;2;0;0;0;3;2866;66.0;449;0.0;0;27;de_vertigo;15;7.0;1.0;0.0;20.0;21.0;13.0;0.0;5.0;2.0;5.0;0;2021-09-27 23:19:21
36;35;3;35;20;1;15;7;0;3;0.0;0.0;9;5;0;0;0;0;1;2285;53.0;509;2.0;1;30;de_dust2;14;13.0;1.0;2.0;12.0;25.0;9.0;1.0;4.0;1.0;1.0;1;2021-09-28 00:32:07
37;36;3;36;32;4;14;14;2;2;0.0;0.0;9;3;3;2;0;0;3;3670;103.0;483;1.0;1;24;de_nuke;15;9.0;3.0;0.0;16.0;51.0;23.0;2.0;6.0;1.0;4.0;1;2021-09-29 00:13:36
38;37;3;37;15;5;17;3;1;4;0.0;0.0;13;1;0;0;0;0;0;2030;63.0;487;0.0;0;27;de_inferno;15;10.0;1.0;0.0;7.0;27.0;10.0;3.0;9.0;5.0;2.0;0;2021-09-29 23:46:49
39;38;3;38;21;4;9;8;0;2;0.0;0.0;8;5;1;0;0;0;2;2593;70.0;340;0.0;0;18;de_mirage;15;9.0;2.0;0.0;11.0;32.0;14.0;1.0;9.0;2.0;1.0;1;2021-10-04 22:50:21
40;39;3;39;41;3;39;14;0;7;0.0;0.0;18;10;1;0;0;0;3;4840;133.0;902;1.0;1;53;de_inferno;15;13.0;3.0;0.0;17.0;68.0;32.0;2.0;6.0;3.0;5.0;0;2021-10-06 01:26:49
41;40;3;40;15;3;21;6;0;0;0.0;0.0;12;0;1;0;0;0;2;1928;44.0;504;0.0;0;28;de_inferno;15;7.0;6.0;0.0;10.0;19.0;9.0;1.0;2.0;1.0;2.0;0;2021-10-09 13:28:52
42;41;3;41;33;7;19;16;2;2;0.0;0.0;9;7;2;1;0;0;5;3971;97.0;613;0.0;0;29;de_vertigo;14;10.0;1.0;0.0;21.0;42.0;19.0;3.0;8.0;2.0;2.0;1;2021-10-09 14:21:51
43;42;3;42;14;10;22;4;0;3;0.0;0.0;9;1;1;0;0;0;4;2384;70.0;495;0.0;0;30;de_vertigo;15;8.0;5.0;1.0;5.0;41.0;13.0;2.0;9.0;0.0;0.0;1;2021-10-18 16:06:56
44;43;3;43;25;4;25;10;0;1;0.0;0.0;9;2;4;0;0;0;1;2919;71.0;776;0.0;0;35;de_inferno;15;10.0;3.0;0.0;18.0;29.0;13.0;3.0;5.0;2.0;1.0;0;2021-10-18 17:27:22
45;44;3;44;18;5;22;9;0;0;0.0;0.0;10;4;0;0;0;0;1;2137;59.0;353;1.0;1;29;de_vertigo;15;6.0;3.0;1.0;11.0;25.0;11.0;2.0;5.0;3.0;2.0;0;2021-10-18 21:52:02
46;45;3;45;16;0;20;7;1;3;0.0;1.0;10;3;0;0;0;0;2;1988;60.0;363;1.0;1;30;de_mirage;14;9.0;1.0;0.0;8.0;22.0;16.0;3.0;6.0;3.0;2.0;1;2021-10-23 13:24:42
47;46;3;46;15;3;15;7;0;4;0.0;0.0;7;4;0;0;0;0;2;1839;57.0;351;0.0;0;23;de_mirage;14;8.0;4.0;0.0;7.0;35.0;7.0;1.0;5.0;1.0;1.0;1;2021-10-25 22:48:51
48;47;3;47;9;1;17;3;0;1;0.0;1.0;3;3;0;0;0;0;0;1372;47.0;292;0.0;0;20;de_vertigo;15;3.0;1.0;0.0;6.0;26.0;12.0;0.0;3.0;0.0;0.0;0;2021-11-03 23:23:54
49;48;3;48;26;3;19;10;1;3;0.0;0.0;10;5;2;0;0;0;3;3290;105.0;447;2.0;1;28;de_nuke;14;7.0;5.0;0.0;14.0;57.0;17.0;3.0;10.0;3.0;1.0;0;2021-11-04 00:16:35
